372,681,1117,1642,2162,2550,2693,2550,2162,1642,1117,681,372
681,1246,2045,3007,3960,4671,4935,4671,3960,3007,2045,1246,681
1117,2045,3357,4935,6497,7665,8099,7665,6497,4935,3357,2045,1117
1642,3007,4935,7255,9552,11267,11905,11267,9552,7255,4935,3007,1642
2162,3960,6497,9552,12578,14837,15677,14837,12578,9552,6497,3960,2162
2550,4671,7665,11267,14837,17501,18491,17501,14837,11267,7665,4671,2550
2693,4935,8099,11905,15677,18491,19538,18491,15677,11905,8099,4935,2693
2550,4671,7665,11267,14837,17501,18491,17501,14837,11267,7665,4671,2550
2162,3960,6497,9552,12578,14837,15677,14837,12578,9552,6497,3960,2162
1642,3007,4935,7255,9552,11267,11905,11267,9552,7255,4935,3007,1642
1117,2045,3357,4935,6497,7665,8099,7665,6497,4935,3357,2045,1117
681,1246,2045,3007,3960,4671,4935,4671,3960,3007,2045,1246,681
372,681,1117,1642,2162,2550,2693,2550,2162,1642,1117,681,372
