16,37,76,139,227,334,440,518,548,518,440,334,227,139,76,37,16
37,84,172,316,518,762,1003,1183,1250,1183,1003,762,518,316,172,84,37
76,172,353,646,1060,1558,2052,2420,2557,2420,2052,1558,1060,646,353,172,76
139,316,646,1183,1941,2854,3759,4433,4683,4433,3759,2854,1941,1183,646,316,139
227,518,1060,1941,3186,4683,6167,7274,7687,7274,6167,4683,3186,1941,1060,518,227
334,762,1558,2854,4683,6885,9066,10694,11299,10694,9066,6885,4683,2854,1558,762,334
440,1003,2052,3759,6167,9066,11939,14082,14879,14082,11939,9066,6167,3759,2052,1003,440
518,1183,2420,4433,7274,10694,14082,16610,17551,16610,14082,10694,7274,4433,2420,1183,518
548,1250,2557,4683,7687,11299,14879,17551,18544,17551,14879,11299,7687,4683,2557,1250,548
518,1183,2420,4433,7274,10694,14082,16610,17551,16610,14082,10694,7274,4433,2420,1183,518
440,1003,2052,3759,6167,9066,11939,14082,14879,14082,11939,9066,6167,3759,2052,1003,440
334,762,1558,2854,4683,6885,9066,10694,11299,10694,9066,6885,4683,2854,1558,762,334
227,518,1060,1941,3186,4683,6167,7274,7687,7274,6167,4683,3186,1941,1060,518,227
139,316,646,1183,1941,2854,3759,4433,4683,4433,3759,2854,1941,1183,646,316,139
76,172,353,646,1060,1558,2052,2420,2557,2420,2052,1558,1060,646,353,172,76
37,84,172,316,518,762,1003,1183,1250,1183,1003,762,518,316,172,84,37
16,37,76,139,227,334,440,518,548,518,440,334,227,139,76,37,16
